flight_date,departure.iata,departure.terminal,departure.gate,departure.scheduled,arrival.iata,arrival.terminal,arrival.scheduled,airline.iata,terminal_walk_time_min,terminal_transport_method,connection_time_min,dep_sched,arr_sched,scheduled_flight_min,departure_hour,day_of_week,risk_label,transport_friction,is_cross_airport,is_intl_hub,is_major_airport,is_peak_hour,terminal_change,has_delay_info,security_crowd,immigration_crowd,walking_time_min,security_time_min,immigration_time_min,congestion_time_min,baggage_time_min,required_time_min,time_margin_min
1,3,0,208,290,182,27,355,88,4,33,66.0,290,354,65.0,9,0,1,1,1,0,0,1,1,1,0,0,4,30.0,0.0,15,10,59.0,0.0
0,38,1,336,192,181,15,232,55,10,19,111.0,192,232,183.0,22,6,2,3,1,1,1,0,1,1,2,2,10,20.0,30.0,3,10,73.0,23.0
0,28,5,75,168,23,21,264,110,5,33,109.0,168,264,428.0,21,6,2,1,1,1,1,1,1,1,0,0,5,30.0,45.0,15,10,105.0,-7.0
1,19,0,35,377,279,16,474,47,10,17,83.0,377,465,110.0,17,0,1,2,1,0,0,1,1,1,0,0,10,30.0,0.0,15,10,65.0,-6.0
0,44,1,295,154,62,0,296,189,5,2,115.0,154,296,515.0,21,6,2,2,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10,60.0,45.0
1,14,1,378,293,111,7,369,55,15,19,148.0,293,368,110.0,10,0,2,3,1,1,1,1,1,1,0,0,15,30.0,45.0,15,10,115.0,30.0
1,5,0,28,301,105,0,395,194,15,19,82.0,301,392,170.0,10,0,1,3,1,0,0,1,0,1,0,0,15,30.0,0.0,15,10,70.0,6.0
1,36,1,382,295,163,2,364,19,12,19,80.0,295,363,75.0,10,0,1,3,1,0,0,1,0,1,0,0,12,30.0,0.0,15,10,67.0,7.0
1,30,1,436,284,322,27,353,37,15,21,119.0,284,352,85.0,9,0,1,3,1,1,1,1,1,1,0,0,15,30.0,45.0,15,10,115.0,-5.0
1,46,1,73,383,165,16,479,129,10,24,116.0,383,472,115.0,17,0,2,2,1,0,0,1,1,1,0,0,10,30.0,0.0,15,10,65.0,46.0
0,31,24,436,188,223,27,280,211,8,36,108.0,188,280,420.0,22,6,2,1,1,0,0,0,1,1,1,1,8,16.0,0.0,3,10,37.0,62.0
0,21,24,436,78,181,16,93,22,5,30,98.0,78,93,143.0,17,6,2,3,0,0,0,1,1,1,0,0,5,30.0,0.0,15,10,60.0,28.0
1,30,8,436,281,40,2,350,21,20,10,121.0,281,349,85.0,9,0,0,3,1,1,1,1,1,1,0,0,20,30.0,45.0,15,10,120.0,-23.0
1,18,0,61,292,113,18,417,147,5,6,93.0,292,410,300.0,10,0,0,2,1,1,0,1,1,1,0,0,5,30.0,45.0,15,10,105.0,-27.0
0,44,16,388,150,128,15,293,189,7,3,88.0,150,293,518.0,21,6,2,1,1,0,0,1,1,1,0,0,7,30.0,0.0,15,10,62.0,14.0
0,33,11,116,47,333,16,68,130,5,6,91.0,47,68,158.0,14,6,2,2,1,0,0,0,1,1,2,0,5,20.0,0.0,8,10,43.0,34.0
1,46,1,165,374,165,16,469,144,12,24,88.0,374,462,110.0,17,0,0,2,1,0,0,1,1,1,0,0,12,30.0,0.0,15,10,67.0,-11.0
0,27,0,250,179,62,0,289,201,5,33,62.0,179,289,450.0,22,6,0,1,1,0,0,0,0,1,1,2,5,16.0,0.0,3,10,34.0,11.0
0,24,6,205,218,217,27,331,51,5,2,135.0,218,332,575.0,23,6,2,2,1,1,1,0,1,1,2,2,5,20.0,30.0,3,10,68.0,64.0
0,47,17,136,190,473,27,190,43,7,33,89.0,190,190,79.0,22,6,2,1,1,0,0,0,1,1,1,2,7,16.0,0.0,3,10,36.0,50.0
0,35,24,436,117,151,27,117,187,10,15,114.0,117,117,73.0,20,6,2,3,1,0,0,1,1,1,0,0,10,30.0,0.0,15,10,65.0,41.0
0,12,13,250,68,57,14,113,144,20,28,95.0,68,113,289.0,16,6,1,3,1,0,0,0,1,1,2,2,20,20.0,0.0,8,10,58.0,27.0
1,8,3,365,278,324,0,383,28,5,33,104.0,278,380,235.0,8,0,0,1,1,1,1,1,1,1,0,0,5,30.0,45.0,15,10,105.0,-25.0
0,15,13,240,67,22,0,316,112,8,2,70.0,67,317,970.0,16,6,0,2,1,0,0,0,1,1,2,2,8,20.0,0.0,8,10,46.0,5.0
1,14,1,436,301,20,22,406,167,7,4,121.0,301,401,210.0,10,0,2,1,1,1,1,1,1,1,0,0,7,30.0,45.0,15,10,107.0,13.0
0,24,8,97,66,134,6,86,37,4,2,123.0,66,86,193.0,15,6,1,2,1,1,1,0,1,1,0,0,4,30.0,45.0,8,10,97.0,-1.0
1,20,24,116,305,451,27,378,13,6,33,87.0,305,375,75.0,11,0,0,1,1,0,0,0,1,1,2,2,6,20.0,0.0,8,10,44.0,0.0
1,5,0,68,312,69,27,408,97,15,19,101.0,312,403,160.0,11,0,2,3,1,0,0,0,1,1,2,2,15,20.0,0.0,8,10,53.0,39.0
1,39,5,401,351,305,2,446,158,12,23,93.0,351,438,120.0,15,0,1,3,1,0,0,0,1,1,2,2,12,20.0,0.0,8,10,50.0,20.0
1,49,24,172,282,394,6,338,116,6,33,90.0,282,339,45.0,9,0,0,1,1,0,0,1,1,1,0,0,6,30.0,0.0,15,10,61.0,-10.0
0,38,0,232,121,107,17,158,55,8,18,90.0,121,158,172.0,20,6,2,3,1,1,1,1,1,1,0,0,8,30.0,45.0,15,10,108.0,-18.0
1,34,6,100,358,306,27,448,55,5,33,93.0,358,442,95.0,15,0,0,1,1,0,0,0,1,1,2,2,5,20.0,0.0,8,10,43.0,7.0
1,34,6,83,361,83,2,475,13,5,33,112.0,361,468,200.0,15,0,2,1,1,0,0,0,1,1,2,2,5,20.0,0.0,8,10,43.0,61.0
0,38,5,418,177,316,27,190,54,6,33,66.0,177,190,106.0,22,6,0,1,1,1,1,0,1,1,2,2,6,20.0,30.0,3,10,69.0,-25.0
0,38,24,436,67,244,27,310,83,10,19,82.0,67,310,900.0,16,6,2,3,1,1,1,0,1,1,0,0,10,30.0,45.0,8,10,103.0,-23.0
1,25,12,151,298,60,12,368,37,7,13,114.0,298,367,80.0,10,0,2,1,1,0,0,1,1,1,0,0,7,30.0,0.0,15,10,62.0,47.0
1,10,0,28,317,152,0,411,97,15,19,103.0,317,406,150.0,12,0,2,3,1,0,0,0,0,1,2,2,15,20.0,0.0,8,10,53.0,47.0
0,17,1,40,218,338,2,236,29,6,33,67.0,218,236,145.0,23,6,0,1,1,0,0,0,0,1,1,1,6,16.0,0.0,3,10,35.0,15.0
0,48,0,313,45,471,19,59,189,5,7,108.0,45,59,124.0,14,6,2,2,1,0,0,0,1,1,2,0,5,20.0,0.0,8,10,43.0,62.0
1,22,0,436,365,350,0,449,126,23,0,120.0,365,443,65.0,16,0,2,3,1,0,0,0,0,1,2,2,23,20.0,0.0,8,10,61.0,46.0
1,25,11,153,278,282,14,343,173,7,13,86.0,278,341,70.0,8,0,0,1,1,0,0,1,1,1,0,0,7,30.0,0.0,15,10,62.0,-11.0
1,22,1,341,357,138,18,445,113,5,25,89.0,357,437,85.0,15,0,0,2,1,0,0,0,1,1,2,2,5,20.0,0.0,8,10,43.0,9.0
1,42,5,436,292,201,0,367,166,8,19,69.0,292,366,105.0,10,0,1,3,1,0,0,1,1,1,0,0,8,30.0,0.0,15,10,63.0,-7.0
0,27,0,280,168,124,7,203,201,5,33,88.0,168,203,160.0,21,6,0,1,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10,60.0,-9.0
0,33,12,120,64,243,15,81,51,5,6,96.0,64,81,163.0,15,6,2,2,1,0,0,0,1,1,0,2,5,30.0,0.0,8,10,53.0,34.0
0,7,12,186,18,276,27,40,71,7,33,71.0,18,40,213.0,10,6,1,1,1,0,0,1,1,1,0,0,7,30.0,0.0,15,10,62.0,-3.0
0,43,24,430,202,18,21,229,147,6,6,87.0,202,229,159.0,22,6,2,2,1,0,0,0,1,1,1,2,6,16.0,0.0,3,10,35.0,45.0
1,10,1,29,319,15,0,399,144,10,19,65.0,319,396,95.0,12,0,1,3,1,0,0,0,1,1,2,2,10,20.0,0.0,8,10,48.0,11.0
1,19,1,172,369,227,16,464,143,8,17,74.0,369,457,110.0,16,0,1,2,1,0,0,0,1,1,2,2,8,20.0,0.0,8,10,46.0,17.0
1,42,5,436,302,111,7,373,209,5,33,111.0,302,369,70.0,10,0,2,1,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10,60.0,48.0
1,36,1,408,290,383,27,384,165,5,35,111.0,290,381,180.0,9,0,2,1,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10,60.0,36.0
0,43,24,429,163,333,16,297,101,6,6,96.0,163,297,498.0,21,6,2,2,1,0,0,1,1,1,0,0,6,30.0,0.0,15,10,61.0,28.0
1,36,1,408,292,452,27,365,165,12,19,116.0,292,364,95.0,10,0,2,3,1,0,0,1,1,1,0,0,12,30.0,0.0,15,10,67.0,39.0
1,26,0,168,371,412,2,454,16,5,14,82.0,371,448,60.0,16,0,0,2,1,0,0,0,1,1,2,2,5,20.0,0.0,8,10,43.0,3.0
1,34,5,1,377,7,0,461,165,5,33,103.0,377,454,55.0,17,0,2,1,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10,60.0,30.0
0,15,13,237,111,297,0,344,164,4,2,90.0,111,342,870.0,19,6,2,2,1,0,0,1,1,1,0,0,4,30.0,0.0,15,10,59.0,30.0
0,48,0,302,28,467,27,25,125,5,7,80.0,28,25,66.0,12,6,1,2,1,0,0,0,1,1,2,0,5,20.0,0.0,8,10,43.0,18.0
0,21,15,339,172,235,11,177,180,5,30,88.0,172,177,102.0,22,6,1,3,1,0,0,0,1,1,1,1,5,16.0,0.0,3,10,34.0,32.0
1,37,0,400,332,425,2,432,131,10,9,101.0,332,425,160.0,13,0,0,3,1,1,0,0,1,1,2,2,10,20.0,30.0,8,10,78.0,4.0
0,21,13,256,114,368,2,120,112,5,30,90.0,114,120,96.0,19,6,2,3,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10,60.0,29.0
0,40,6,184,171,133,27,155,21,6,33,73.0,171,155,57.0,22,6,0,1,1,0,0,0,1,1,1,2,6,16.0,0.0,3,10,35.0,9.0
0,2,11,265,159,49,2,241,59,6,11,65.0,159,241,340.0,21,6,0,3,1,0,0,1,1,1,0,0,6,30.0,0.0,15,10,61.0,-14.0
1,13,24,197,269,65,2,358,200,6,6,112.0,269,355,180.0,8,0,2,2,1,0,0,1,1,1,0,0,6,30.0,0.0,15,10,61.0,45.0
0,11,24,270,114,269,27,164,201,5,31,84.0,114,164,205.0,19,6,1,2,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10,60.0,12.0
0,47,17,180,176,461,27,207,43,12,19,82.0,176,207,154.0,22,6,1,3,1,0,0,0,1,1,2,1,12,20.0,0.0,3,10,45.0,23.0
1,16,0,56,288,419,27,389,180,10,27,95.0,288,384,205.0,9,0,1,2,1,1,1,1,1,1,0,0,10,30.0,45.0,15,10,110.0,-20.0
1,39,5,401,332,298,2,428,158,12,23,85.0,332,423,150.0,13,0,2,3,1,0,0,0,1,1,2,2,12,20.0,0.0,8,10,50.0,30.0
0,11,24,224,142,88,0,128,22,5,31,70.0,142,128,57.0,21,6,1,2,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10,60.0,-1.0
0,24,8,96,40,327,27,64,37,4,2,111.0,40,64,181.0,13,6,0,2,1,1,1,0,1,1,0,0,4,30.0,45.0,8,10,97.0,-17.0
0,47,17,182,179,475,27,207,202,7,33,85.0,179,207,149.0,22,6,0,1,1,0,0,0,1,1,1,2,7,16.0,0.0,3,10,36.0,16.0
0,11,24,142,139,354,27,138,180,5,31,79.0,139,138,83.0,20,6,1,2,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10,60.0,5.0
0,7,11,137,5,23,21,13,104,8,33,82.0,5,13,173.0,8,6,0,1,1,0,0,1,1,1,0,0,8,30.0,0.0,15,10,63.0,-15.0
1,10,0,16,337,104,2,417,13,10,19,86.0,337,410,70.0,13,0,1,3,1,0,0,0,1,1,1,2,10,16.0,0.0,8,10,44.0,23.0
1,45,1,343,330,173,18,405,131,10,19,132.0,330,400,55.0,13,0,2,3,1,1,1,0,1,1,2,0,10,20.0,45.0,8,10,93.0,37.0
1,46,1,77,352,83,2,464,165,5,33,82.0,352,457,195.0,15,0,0,1,1,0,0,0,0,1,2,2,5,20.0,0.0,8,10,43.0,1.0
1,35,24,436,234,98,27,247,1,10,15,91.0,234,247,155.0,1,0,2,3,1,0,0,0,1,1,1,1,10,16.0,0.0,3,10,39.0,50.0
1,37,5,22,339,96,16,427,144,8,33,112.0,339,422,110.0,14,0,1,1,1,1,0,0,1,1,2,2,8,20.0,30.0,8,10,76.0,27.0
1,9,1,436,333,375,2,439,81,6,33,79.0,333,433,190.0,13,0,0,1,1,0,0,0,0,1,2,2,6,20.0,0.0,8,10,44.0,9.0
1,26,0,178,355,214,27,448,43,5,14,73.0,355,442,110.0,15,0,1,2,1,0,0,0,1,1,2,2,5,20.0,0.0,8,10,43.0,13.0
1,49,24,66,287,263,2,352,179,6,33,75.0,287,351,65.0,9,0,1,1,1,0,0,1,1,1,0,0,6,30.0,0.0,15,10,61.0,-5.0
1,23,24,436,292,35,1,369,172,8,12,125.0,292,368,115.0,10,0,1,1,1,1,0,1,1,1,0,0,8,30.0,45.0,15,10,108.0,-7.0
0,1,19,337,209,249,27,182,162,5,33,114.0,209,182,39.0,23,6,2,1,1,0,0,0,1,1,1,2,5,16.0,0.0,3,10,34.0,66.0
1,9,5,436,341,396,0,427,122,12,19,81.0,341,422,100.0,14,0,2,3,1,0,0,0,1,1,2,2,12,20.0,0.0,8,10,50.0,31.0
1,17,0,4,247,82,27,311,32,5,33,98.0,247,311,70.0,5,0,2,1,1,0,0,0,1,1,1,1,5,16.0,0.0,3,10,34.0,58.0
0,11,24,278,61,85,27,70,187,5,31,76.0,61,70,95.0,15,6,0,2,1,0,0,0,1,1,2,0,5,20.0,0.0,8,10,43.0,5.0
1,4,24,436,323,438,2,397,86,5,6,100.0,323,394,65.0,12,0,2,2,1,0,0,0,1,1,2,2,5,20.0,0.0,8,10,43.0,50.0
1,29,19,436,257,30,0,345,195,5,16,80.0,257,344,200.0,6,0,1,2,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10,60.0,9.0
0,31,6,436,24,195,0,23,26,8,36,113.0,24,23,75.0,11,6,2,1,1,0,0,0,1,1,2,2,8,20.0,0.0,8,10,46.0,60.0
0,42,5,436,117,148,7,126,60,5,33,89.0,117,126,110.0,20,6,0,1,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10,60.0,-10.0
1,45,1,28,301,56,2,396,144,5,29,96.0,301,393,175.0,10,0,0,2,1,1,1,1,0,1,0,0,5,30.0,45.0,15,10,105.0,-32.0
1,14,1,379,275,229,18,410,70,18,19,117.0,275,405,360.0,8,0,1,3,1,1,1,1,1,1,0,0,18,30.0,45.0,15,10,118.0,-20.0
0,44,5,369,133,368,2,148,189,7,3,97.0,133,148,113.0,20,6,1,1,1,0,0,1,1,1,0,0,7,30.0,0.0,15,10,62.0,12.0
1,49,24,172,283,161,0,344,165,4,33,72.0,283,342,50.0,9,0,0,1,1,0,0,1,1,1,0,0,4,30.0,0.0,15,10,59.0,-15.0
0,44,0,222,151,128,14,298,144,5,2,108.0,151,298,524.0,21,6,2,2,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10,60.0,34.0
1,10,0,26,304,259,0,398,194,18,19,71.0,304,395,170.0,11,0,0,3,1,0,0,0,0,1,2,2,18,20.0,0.0,8,10,56.0,0.0
1,39,5,401,351,305,2,446,214,5,19,85.0,351,438,120.0,15,0,1,3,1,0,0,0,1,1,2,2,5,20.0,0.0,8,10,43.0,25.0
0,48,0,353,123,289,2,345,112,5,7,118.0,123,344,830.0,20,6,2,2,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10,60.0,43.0
1,8,2,330,284,431,19,353,51,10,8,106.0,284,352,85.0,9,0,0,3,1,1,1,1,1,1,0,0,10,30.0,45.0,15,10,110.0,-28.0
1,49,24,0,285,136,0,350,56,4,33,73.0,285,349,65.0,9,0,0,1,1,0,0,1,1,1,0,0,4,30.0,0.0,15,10,59.0,-17.0
1,13,24,176,272,16,9,374,200,5,6,112.0,272,370,225.0,8,0,2,2,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10,60.0,39.0
1,10,0,116,321,196,0,409,26,10,19,87.0,321,404,120.0,12,0,1,3,1,0,0,0,0,1,2,2,10,20.0,0.0,8,10,48.0,28.0
1,41,0,1,335,455,6,423,59,10,20,79.0,335,418,110.0,13,0,0,3,1,0,0,0,1,1,2,2,10,20.0,0.0,8,10,48.0,2.0
1,14,24,436,259,211,18,350,14,18,19,110.0,259,349,210.0,7,0,0,3,1,1,1,1,1,1,0,0,18,30.0,45.0,15,10,118.0,-28.0
1,13,24,285,236,93,14,364,121,5,6,83.0,236,363,530.0,2,0,0,2,1,0,0,0,1,1,1,1,5,16.0,0.0,3,10,34.0,13.0
0,2,11,436,67,366,2,65,166,6,11,65.0,67,65,55.0,16,6,0,3,1,0,0,0,1,1,2,2,6,20.0,0.0,8,10,44.0,2.0
1,4,24,436,320,425,2,448,26,5,6,123.0,320,442,290.0,12,0,2,2,1,0,0,0,1,1,2,2,5,20.0,0.0,8,10,43.0,65.0
1,0,24,200,289,304,27,361,24,8,33,101.0,289,360,90.0,9,0,1,1,1,1,1,1,1,1,0,0,8,30.0,45.0,15,10,108.0,-16.0
1,18,0,436,344,164,2,424,193,5,6,127.0,344,419,65.0,14,0,1,2,1,1,0,0,1,1,2,2,5,20.0,30.0,8,10,73.0,25.0
0,44,1,296,149,336,12,273,131,5,33,90.0,149,273,484.0,21,6,2,1,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10,60.0,16.0
1,37,1,431,344,425,2,448,144,8,33,117.0,344,442,165.0,14,0,1,1,1,1,0,0,0,1,2,2,8,20.0,30.0,8,10,76.0,21.0
1,45,0,436,333,66,2,455,5,8,37,117.0,333,449,260.0,13,0,1,1,1,1,1,0,1,1,2,2,8,20.0,30.0,8,10,76.0,23.0
0,12,12,213,201,4,27,178,30,5,28,100.0,201,178,49.0,22,6,1,3,1,0,0,0,1,1,1,2,5,16.0,0.0,3,10,34.0,36.0
1,32,0,436,295,423,27,353,73,12,22,82.0,295,352,30.0,10,0,1,3,1,0,0,1,1,1,0,0,12,30.0,0.0,15,10,67.0,-3.0
0,44,5,352,152,424,2,286,189,6,3,85.0,152,286,502.0,21,6,1,1,1,0,0,1,1,1,0,0,6,30.0,0.0,15,10,61.0,7.0
0,12,15,347,196,434,27,180,30,5,28,85.0,196,180,56.0,22,6,1,3,1,0,0,0,1,1,1,1,5,16.0,0.0,3,10,34.0,25.0
1,23,24,436,264,19,9,344,125,8,12,110.0,264,342,160.0,7,0,0,1,1,1,0,1,1,1,0,0,8,30.0,45.0,15,10,108.0,-31.0
1,6,0,436,290,259,0,373,194,16,19,87.0,290,369,130.0,9,0,1,3,1,0,0,1,0,1,0,0,16,30.0,0.0,15,10,71.0,10.0
0,35,24,436,83,98,27,96,102,8,33,73.0,83,96,137.0,17,6,0,1,1,0,0,1,1,1,0,0,8,30.0,0.0,15,10,63.0,-17.0
1,17,1,46,220,268,2,239,71,5,33,79.0,220,239,180.0,0,0,1,1,1,0,0,0,0,1,1,1,5,16.0,0.0,3,10,34.0,21.0
0,43,24,136,164,129,27,205,107,6,6,85.0,164,205,175.0,21,6,0,2,1,0,0,1,1,1,0,0,6,30.0,0.0,15,10,61.0,-17.0
1,41,0,1,335,455,6,423,107,10,20,75.0,335,418,110.0,13,0,0,3,1,0,0,0,1,1,2,2,10,20.0,0.0,8,10,48.0,9.0
1,10,0,95,291,401,2,364,26,18,19,93.0,291,363,95.0,9,0,0,3,1,0,0,1,1,1,0,0,18,30.0,0.0,15,10,73.0,-16.0
1,19,0,124,371,435,2,465,33,10,33,118.0,371,458,105.0,16,0,2,1,1,0,0,0,1,1,2,2,10,20.0,0.0,8,10,48.0,65.0
1,49,24,172,282,394,6,338,22,5,5,98.0,282,339,45.0,9,0,2,2,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10,60.0,32.0
1,13,24,1,291,121,2,385,70,6,6,67.0,291,382,180.0,9,0,0,2,1,0,0,1,1,1,0,0,6,30.0,0.0,15,10,61.0,-10.0
0,21,13,282,119,385,12,143,131,5,30,77.0,119,143,142.0,20,6,1,3,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10,60.0,-7.0
1,9,5,436,341,396,0,427,166,6,33,97.0,341,422,100.0,14,0,2,1,1,0,0,0,1,1,2,2,6,20.0,0.0,8,10,44.0,52.0
0,43,24,136,164,129,27,205,202,5,33,90.0,164,205,175.0,21,6,0,1,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10,60.0,-11.0
0,15,13,237,111,297,0,344,112,4,2,89.0,111,342,870.0,19,6,2,2,1,0,0,1,1,1,0,0,4,30.0,0.0,15,10,59.0,23.0
1,22,1,436,370,220,0,465,59,23,0,110.0,370,458,110.0,16,0,2,3,1,0,0,0,1,1,2,2,23,20.0,0.0,8,10,61.0,39.0
1,10,0,436,327,56,2,421,97,15,19,103.0,327,416,140.0,13,0,1,3,1,0,0,0,1,1,2,2,15,20.0,0.0,8,10,53.0,22.0
1,4,24,436,322,173,16,404,107,5,6,62.0,322,398,90.0,12,0,0,2,1,0,0,0,1,1,2,2,5,20.0,0.0,8,10,43.0,1.0
1,29,18,436,255,353,0,348,179,5,16,79.0,255,347,220.0,6,0,1,2,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10,60.0,7.0
1,13,24,67,266,237,13,382,200,5,6,93.0,266,379,300.0,7,0,1,2,1,0,0,1,1,1,2,0,5,20.0,0.0,15,10,50.0,13.0
0,44,5,379,188,329,16,207,189,6,3,80.0,188,207,129.0,22,6,0,1,1,0,0,0,1,1,1,2,6,16.0,0.0,3,10,35.0,11.0
1,18,0,436,356,376,0,459,86,5,33,123.0,356,451,150.0,15,0,2,1,1,1,0,0,0,1,2,2,5,20.0,30.0,8,10,73.0,38.0
1,9,5,436,359,391,0,445,43,6,33,82.0,359,437,75.0,15,0,2,1,1,0,0,0,1,1,2,2,6,20.0,0.0,8,10,44.0,36.0
1,5,0,68,329,77,27,405,144,15,19,99.0,329,400,60.0,13,0,1,3,1,0,0,0,1,1,2,2,15,20.0,0.0,8,10,53.0,22.0
1,41,1,436,314,429,2,406,214,10,20,72.0,314,401,140.0,11,0,0,3,1,0,0,0,0,1,2,2,10,20.0,0.0,8,10,48.0,2.0
0,1,19,260,208,275,27,164,24,8,32,96.0,208,164,7.0,23,6,1,1,1,0,0,0,1,1,1,1,8,16.0,0.0,3,10,37.0,34.0
0,21,13,266,97,320,0,122,131,5,30,111.0,97,122,171.0,18,6,2,3,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10,60.0,44.0
1,18,0,401,348,78,6,450,42,5,33,112.0,348,444,155.0,14,0,2,1,1,1,0,0,1,1,2,2,5,20.0,30.0,8,10,73.0,30.0
1,23,24,436,304,126,27,377,25,8,12,125.0,304,374,75.0,11,0,2,1,1,1,0,0,1,1,2,2,8,20.0,30.0,8,10,76.0,49.0
1,42,6,436,269,201,0,335,108,5,33,74.0,269,336,105.0,8,0,1,1,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10,60.0,9.0
1,29,24,436,277,255,27,333,206,5,16,83.0,277,334,52.0,8,0,2,2,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10,60.0,15.0
1,22,1,59,364,299,0,459,59,5,25,115.0,364,451,110.0,16,0,2,2,1,0,0,0,1,1,2,2,5,20.0,0.0,8,10,43.0,58.0
0,1,19,364,205,365,2,209,107,5,33,96.0,205,209,103.0,23,6,1,1,1,0,0,0,1,1,2,1,5,20.0,0.0,3,10,38.0,28.0
1,41,0,392,325,403,0,435,107,10,20,115.0,325,429,210.0,12,0,2,3,1,0,0,0,0,1,2,2,10,20.0,0.0,8,10,48.0,60.0
1,36,1,408,287,248,27,352,112,5,35,84.0,287,351,65.0,9,0,0,1,1,0,0,1,1,1,0,0,5,30.0,0.0,15,10,60.0,-13.0
0,12,14,292,75,167,27,353,37,5,28,110.0,75,352,1075.0,16,6,2,3,1,0,0,0,1,1,2,0,5,20.0,0.0,8,10,43.0,63.0
1,36,1,408,292,452,27,365,129,5,35,88.0,292,364,95.0,10,0,2,1,1,0,0,1,1,1,2,0,5,20.0,0.0,15,10,50.0,34.0
0,47,17,355,97,310,2,126,107,12,19,110.0,97,126,190.0,18,6,2,3,1,0,0,1,1,1,0,0,12,30.0,0.0,15,10,67.0,38.0
